instructions_id,enabled,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address,abi_pair
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714+0x5e0d443f-0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714+0x3df02124:0xfe18be6b_0x2260fac5,TRUE,,,,,,./abis/curve.json,sBTC,WBTC,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,sBTCWBTC./abis/curve.json
0xe9cf7887b93150d4f2da7dfc6d502b216438f244+0x95b68fe7-0xe9cf7887b93150d4f2da7dfc6d502b216438f244+0x95e3c50b:0x5e74c903_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,sETH,ETH,0xe9cf7887b93150d4f2da7dfc6d502b216438f244,sETHETH./abis/uniswap_v1.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x5e74c903_0x57ab1ec2,FALSE,,,,,,./abis/balancer_pool.json,sETH,sUSD,0xec577a919fca1b682f584a50b1048331ef0f30dd,sETHsUSD./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x5e74c903_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,sETH,DAI,0xec577a919fca1b682f584a50b1048331ef0f30dd,sETHDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x5e74c903_0xa0b86991,FALSE,,,,,,./abis/balancer_pool.json,sETH,USDC,0xec577a919fca1b682f584a50b1048331ef0f30dd,sETHUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x5e74c903_0xc011a73e,FALSE,,,,,,./abis/balancer_pool.json,sETH,SNX,0xec577a919fca1b682f584a50b1048331ef0f30dd,sETHSNX./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x5e74c903_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,sETH,WETH,0xec577a919fca1b682f584a50b1048331ef0f30dd,sETHWETH./abis/balancer_pool.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0x5e74c903_0xc02aaa39,TRUE,,,,,,./abis/uniswap_v2_router.json,sETH,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,sETHWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x38ed1739:0x5e74c903_0xc02aaa39,TRUE,,,,,,./abis/uniswap_v2_router.json,sETH,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,sETHWETH./abis/uniswap_v2_router.json
0x3958b4ec427f8fa24eb60f42821760e88d485f7f+0x95b68fe7-0x3958b4ec427f8fa24eb60f42821760e88d485f7f+0x95e3c50b:0xc011a724_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,SNX,ETH,0x3958b4ec427f8fa24eb60f42821760e88d485f7f,SNXETH./abis/uniswap_v1.json
