instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,query_contract_address,contract_address,,no
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x7701ba39,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,KIMBAP,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,748
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x68198e4ed6975204b3467dc217166d9ff1cbb57a+0x8201aa3f:0xc02aaa39_0x8a9c67fe,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,JRT,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x68198e4ed6975204b3467dc217166d9ff1cbb57a,,749
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x2b591e99,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,HEX,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,750
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x7cd40497c8284df1018673e6b29c3d97ef811685+0x8201aa3f:0xc02aaa39_0x584bc13c,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,HEGIC,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x7cd40497c8284df1018673e6b29c3d97ef811685,,751
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x584bc13c,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,HEGIC,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,752
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x6810e776,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,GNO,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,753
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x3f382dbd,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,GHST,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,754
0x804876a3787c0d05a06a0b4082628dac481f1889+0x95437848-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0x2e1a7d4d:0xc02aaa39_0xeeeeeeee,TRUE,FALSE,4164,4164,1127,0,0,./abis/weth.json,WETH,ETH,0x804876a3787c0d05a06a0b4082628dac481f1889,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,755
0xa2881a90bf33f03e7a3f803765cd2ed5c8928dfb+0x95b68fe7-0xa2881a90bf33f03e7a3f803765cd2ed5c8928dfb+0x95e3c50b:0xc02aaa39_0xeeeeeeee,TRUE,FALSE,1,1,1,0,0,./abis/uniswap_v1.json,WETH,ETH,0xa2881a90bf33f03e7a3f803765cd2ed5c8928dfb,0xa2881a90bf33f03e7a3f803765cd2ed5c8928dfb,,756
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0xc02aaa39_0xeeeeeeee,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,ETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,757
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0xbf217985,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,ELF,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,758
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x9cb2f26a,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,DZAR,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,759
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0xa93d5cfa,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,DREAM,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,760
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x84ca8bc7,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,DIA,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,761
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x431ad2ff,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,DF,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,762
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x9b208194acc0a8ccb2a8dcafeacfbb7dcc093f81+0x8201aa3f:0xc02aaa39_0x6b175474,TRUE,FALSE,41,41,0,0,0,./abis/balancer_pool.json,WETH,DAI,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x9b208194acc0a8ccb2a8dcafeacfbb7dcc093f81,,763
0xf30fe24b5610e47c9696ed47fc08442f79ada764+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0xc02aaa39_0x6b175474,TRUE,FALSE,,,,,,./abis/oasis.json,WETH,DAI,0xf30fe24b5610e47c9696ed47fc08442f79ada764,0x794e6e91555438afc3ccf1c5076a74f42133d08d,,764
