instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x6b175474_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,DAI,WETH,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x5aec4cff7fc3880ade1582e5e37cf89152e70ace+0x8201aa3f:0x408e4187_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,REN,WETH,0x5aec4cff7fc3880ade1582e5e37cf89152e70ace
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4+0x8201aa3f:0xba100000_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,BAL,WETH,0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x72cd8f4504941bf8c5a21d1fd83a96499fd71d2c+0x8201aa3f:0xe2f2a5c2_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,mUSD,USDC,0x72cd8f4504941bf8c5a21d1fd83a96499fd71d2c
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x4019ba88158daa468a063ac48171a3bfe8cd9f3b+0x8201aa3f:0xa3bed4e1_0xe2f2a5c2,true,false,,,,,,./abis/balancer_pool.json,MTA,mUSD,0x4019ba88158daa468a063ac48171a3bfe8cd9f3b
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xe036cce08cf4e23d33bc6b18e53caf532afa8513+0x8201aa3f:0xe2f2a5c2_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,mUSD,WETH,0xe036cce08cf4e23d33bc6b18e53caf532afa8513
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x2cf9106faf2c5c8713035d40df655fb1b9b0f9b9+0x8201aa3f:0xc02aaa39_0x960b236a,true,false,,,,,,./abis/balancer_pool.json,WETH,ANT,0x2cf9106faf2c5c8713035d40df655fb1b9b0f9b9
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xa0b86991_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,USDC,WETH,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc02aaa39_0xa0b86991,true,false,,,,,,./abis/balancer_pool.json,WETH,USDC,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x60626db611a9957c1ae4ac5b7ede69e24a3b76c5+0x8201aa3f:0x6b175474_0x0bc529c0,true,false,,,,,,./abis/balancer_pool.json,DAI,YFI,0x60626db611a9957c1ae4ac5b7ede69e24a3b76c5
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x88daa4e6c2525b126c977c7d0da86710d93ed1b2+0x8201aa3f:0x80fb784b_0x57ab1ec2,true,false,,,,,,./abis/balancer_pool.json,LEND,sUSD,0x88daa4e6c2525b126c977c7d0da86710d93ed1b2
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0x6b175474,true,false,,,,,,./abis/balancer_pool.json,sUSD,DAI,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xf9ab7776c7baeed1d65f0492fe2bb3951a1787ef+0x8201aa3f:0xba100000_0x2260fac5,true,false,,,,,,./abis/balancer_pool.json,BAL,WBTC,0xf9ab7776c7baeed1d65f0492fe2bb3951a1787ef
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc02aaa39_0x6b175474,true,false,,,,,,./abis/balancer_pool.json,WETH,DAI,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x01d7e6a79f6e6dc6f0884743078f76ac1239520a+0x8201aa3f:0xa0b86991_0x8a9c67fe,true,false,,,,,,./abis/balancer_pool.json,USDC,JRT,0x01d7e6a79f6e6dc6f0884743078f76ac1239520a
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x003a70265a3662342010823bea15dc84c6f7ed54+0x8201aa3f:0xe2f2a5c2_0xa3bed4e1,true,false,,,,,,./abis/balancer_pool.json,mUSD,MTA,0x003a70265a3662342010823bea15dc84c6f7ed54
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xa5da8cc7167070b62fdcb332ef097a55a68d8824+0x8201aa3f:0xa3bed4e1_0xe2f2a5c2,true,false,,,,,,./abis/balancer_pool.json,MTA,mUSD,0xa5da8cc7167070b62fdcb332ef097a55a68d8824
